company_id,company_name,sector,industry,emissions_archetype,country,employees,lei,ticker,exchange,mapping_confidence,mapping_type
00415345-dbb6-4d3c-8f4f-3c02bd65aee2,Hamburger Hafen und Logistik AG,Manufacturing,Marine Shipping,Unknown,Germany,6930,52990003RXKZ9J9ERW70,HHFA,XETRA,0,unmapped
00af8de9-72b8-40e0-8d45-6277389c57a8,Cewe Stiftung & Co KGaA,Consumer Goods,Personal Care Services,Scope 2-heavy,Germany,4000,529900IDFHN9MQ3WUD64,CWC,XETRA,0.8,extend
00f15137-c39f-4260-a8d8-c01bb274de83,Alleima AB,Manufacturing,Steel Production,Operational Emitter,Sweden,6309,529900EBHTYGLA6PGP77,ALLEI,NASDAQ STOCKHOLM AB,1.0,direct
01133fe5-4172-44d0-8d1b-4af3388d95d7,Alstom SA,Manufacturing,Railroads,Unknown,France,78684,96950032TUYMW11FB530,ALO,EURONEXT,0,unmapped
012f8a95-4bec-4b13-b50c-5e5a78a10269,Nexans SA,Manufacturing,Electronics Manufacturing,Scope 2-heavy,France,28498,96950015FU78G84UIV14,NEX,EURONEXT,0.85,map
01b472d4-7fed-489e-9a99-494e4b1e0b80,Arbonia AG,Manufacturing,Construction Materials,Lifecycle-dependent,Switzerland,2763,52990053OCTMTW77M139,ARBN,SIX SWISS EXCHANGE,0.8,merge
020eb713-3e7f-4a63-8b0a-b73a309b4984,Carrefour SA,Consumer Goods,Traditional Retail,Scope 2-heavy,France,324750,549300B8P6MUJ1YWTS08,CA,EURONEXT,0.9,direct
022409dd-daa4-4228-86b1-4f0fd1df27e7,Brunello Cucinelli SpA,Consumer Goods,Consumer Electronics,Use-phase Dominant,Italy,3101,5493003CX2RZ0FOBH256,BC,EURONEXT MILAN,0.7,map
032222b1-4841-4e1b-9ea2-2b9c61b0665b,Rheinmetall AG,Manufacturing,Aerospace Manufacturing,Upstream-heavy,Germany,28539,5299001OU9CSE29O6S05,RHM,XETRA,0.9,extend
034da4e8-bd6e-498c-bd09-13992aa9685a,Bilfinger SE,Manufacturing,Construction Services,Upstream-heavy,Germany,31478,529900H0HULEN2BZ4604,GBF,XETRA,0.9,extend
03bf460e-be5d-49f4-8486-96d2f85bf785,Colruyt Group NV,Consumer Goods,Traditional Retail,Scope 2-heavy,Belgium,33000,5493000O0NZ1BCXO8K39,COLR,EURONEXT,0.9,direct
040a278d-8555-4345-8cd8-80c45f60b606,Systemair AB,Manufacturing,Construction Materials,Lifecycle-dependent,Sweden,6638,529900RK1R6HF8KKOI20,SYSR,NASDAQ STOCKHOLM AB,0.8,merge
045634a9-8575-4f54-b4a6-f0c5d95143cb,Aselsan Elektronik Sanayi ve Ticaret AS,Manufacturing,Aerospace Manufacturing,Upstream-heavy,Turkey,12014,7890008XT4M710MU8714,ASELS.E,BORSA ISTANBUL,0.9,extend
04d97bfb-cb53-4c12-aa76-c761d225ead7,Nibe Industrier AB,Manufacturing,Construction Materials,Lifecycle-dependent,Sweden,20600,549300ZQH0FIF1P0MX67,NIBE B,NASDAQ STOCKHOLM AB,0.8,merge
04f30607-36f4-45eb-89c7-dd6c109adce9,BayWa AG,Manufacturing,Diversified Manufacturing,Upstream-heavy,Germany,23144,529900SM0FDLLYATXU36,BYW6,XETRA,0.6,extend
050e0d18-60a5-487f-bf17-fdab30dfe96b,H&K AG,Manufacturing,Aerospace Manufacturing,Upstream-heavy,Germany,1156,529900PURWE5WMRCH576,MLHK,EURONEXT ACCESS PARIS,0.9,extend
0547585e-8625-4495-8506-4515b456fbbf,Ashtead Group PLC,Manufacturing,Rental & Leasing Services,Unknown,United Kingdom,25164,2138007UTBN8X9K1A235,AHT,LONDON STOCK EXCHANGE,0,unmapped
05b704b0-33e7-4cf4-bc6a-1bcb941af31b,Elkem ASA,Manufacturing,Chemical Manufacturing,Operational Emitter,Norway,7134,549300CVBE06T0SH6T76,ELK,OSLO BORS,1.0,direct
05f2ff60-53dc-4c11-9f69-b60dee893558,Tivoli A/S,Consumer Goods,Leisure,Unknown,Denmark,858,213800U8GOU4PCQKDX03,TIV,NASDAQ COPENHAGEN A/S,0,unmapped
062cbc73-ee6f-4e92-a4df-afb190a49db8,Domino's Pizza Group PLC,Consumer Goods,Food Service,Scope 2-heavy,United Kingdom,2058,213800Q6ZKHAOV48JL75,DOM,LONDON STOCK EXCHANGE,0.9,extend
0634543f-eb04-4d27-9e7a-3ffa17fa59f1,Konecranes Abp,Manufacturing,Industrial Equipment Manufacturing,Operational Emitter,Finland,16178,549300EF0CDEQZBMA096,KCR,NASDAQ HELSINKI LTD,0.8,merge
065f29fa-eb7b-4960-85bd-5a65f7dbbe11,Pernod Ricard SA,Consumer Goods,Beverages - Wineries & Distilleries,Unknown,France,19557,52990097YFPX9J0H5D87,RI,EURONEXT,0,unmapped
07c238e7-8870-40a4-b7cb-21ad90eb2472,Poste Italiane SpA,Manufacturing,Diversified Manufacturing,Upstream-heavy,Italy,113345,815600354DEDBD0BA991,PST,EURONEXT MILAN,0.6,extend
07ed0b5e-3b82-4195-9caa-4bfc56273089,Suedzucker AG,Consumer Goods,Food & Beverage,Use-phase Dominant,Germany,19853,529900S8QNB101D40S72,SZU,XETRA,0.95,direct
082ede72-cf58-4746-bce1-645d4d22f28d,Accor SA,Consumer Goods,Lodging,Unknown,France,19423,969500QZC2Q0TK11NV07,AC,EURONEXT,0,unmapped
083e8394-ecf3-47db-8434-946728712950,Enento Group Oyj,Manufacturing,Professional Services,Scope 2-heavy,Finland,364,743700EPLUWXE25HGM03,ENENTO,NASDAQ HELSINKI LTD,0.8,merge
08541cfa-b28b-4272-a4f7-6e1d532b6139,Frontline Plc,Energy,Oil & Gas Midstream,Unknown,Cyprus,88,5493004BCIKYU1YL3H63,FRO,"NEW YORK STOCK EXCHANGE, INC.",0,unmapped
087440b8-6ce5-4ddb-92de-4d8c1a7c26e4,Corporacion America Airports SA,Manufacturing,Airports & Air Services,Unknown,Luxembourg,6100,959800AWF26KMY2SXF71,CAAP,"NEW YORK STOCK EXCHANGE, INC.",0,unmapped
08eba286-ad3f-4fbc-9c35-af1660972db7,Accelleron Industries AG,Manufacturing,Industrial Equipment Manufacturing,Operational Emitter,Switzerland,2343,254900KS0MD2PAARXD14,ACLN,SIX SWISS EXCHANGE,0.95,extend
0934846c-4e18-442f-8c13-9f1b9eea5d3f,Sandvik AB,Manufacturing,Industrial Equipment Manufacturing,Operational Emitter,Sweden,36295,5299008ZUAXN43LVZF54,SAND,NASDAQ STOCKHOLM AB,0.95,extend
0947ef4a-3e39-49df-bd15-9f91fbeaec05,Marks and Spencer Group PLC,Consumer Goods,Department Stores,Unknown,United Kingdom,64000,213800EJP14A79ZG1X44,MKS,LONDON STOCK EXCHANGE,0,unmapped
